N,Time,Iterations,h
5763,90098458,421953,26
8777,57262417,624593,23
8880,39693959,632547,23
6734,27619500,486331,24
1568,14108958,106841,18
6169,27104500,458298,28
9091,44917167,665490,27
750,2736291,51083,17
6416,33689167,466698,25
9170,40740875,667719,26
8578,43898791,616261,24
7178,34650333,509866,22
682,3388250,47801,21
1726,6564458,89800,15
3472,12483125,183118,16
9230,28440333,677247,27
8194,12104666,569149,20
8469,13353333,621951,26
3733,11394417,269088,24
787,1292333,55157,19
7126,9490334,535340,29
4112,5411833,289010,20
9719,13495167,708493,26
5873,5932375,431119,27
7118,13880625,517901,26
7192,5504916,526278,26
8344,5595833,610333,26
7092,5162167,518443,25
5808,3785041,417319,24
1900,1159250,135944,23
4648,6419209,325506,20
565,402083,39526,19
6143,4091500,439064,24
8479,5019833,622720,27
6619,4421791,484229,26
4377,5680125,305404,20
5572,2759083,387217,20
6411,3487250,473104,27
7701,6508791,532394,19
6305,3211791,450553,23
7780,4092125,550932,22
9229,4782209,668158,25
2133,1133667,150616,21
6338,3571958,458699,25
5508,3128250,390729,22
979,1061166,67013,18
2314,1141375,160642,18
4396,3818375,302184,18
458,222042,31445,18
5927,2869709,433910,27
4588,2116750,328761,23
162,87125,7795,11
4452,2230833,311898,20
6402,4703625,455346,23
2936,1261792,211884,24
6372,3120292,450026,22
5580,6591917,408024,26
2148,1011125,147046,18
5108,4284791,371333,26
2328,3909583,163626,22
4623,2490916,313022,17
4918,2690667,355923,25
2323,1196167,159243,17
1149,409792,60890,16
9846,7247958,706290,24
6770,3395125,490918,25
8605,5546834,598438,20
1530,649208,104234,17
2176,940833,148637,17
749,244166,38947,14
